mfgID,motusTagID,tagDeployID,site_date,runID,antBin,pulseCount,numHits,runLen,longRun,inspectFlag,keep
364,28461,16194,Pointe Mouillee: 2018-05-26,59387615,N,20,5,3,3,run length of 3,TRUE
369,28466,16199,D'Estimauville: 2018-05-30,55300244,S,118742,3557,4,1,median freqsd of run > 0.05 kHz,FALSE
369,28466,16199,D'Estimauville: 2018-05-30,55300407,S,118742,3557,4,2,median freqsd of run > 0.05 kHz,FALSE
369,28466,16199,Stutchbury: 2018-07-21,58837996,S,1,93,4,1,median freqsd of run > 0.05 kHz,FALSE
371,28468,16201,Gerdau: 2018-06-01,39612695,E,860,7,7,2,SG: <3 consecutive bursts,TRUE
374,28471,16204,D'Estimauville: 2018-05-30,55303383,S,182327,5177,4,1,median freqsd of run > 0.05 kHz,FALSE
376,28473,16206,Brighton: 2018-05-31,41588016,W,369,43,7,3,hit with high freqSD,TRUE
376,28473,16206,Brighton: 2018-05-31,41588016,W,369,43,7,3,excessive burstSlop,TRUE
376,28473,16206,Brighton: 2018-05-31,41588017,W,369,43,10,6,excessive burstSlop,TRUE
376,28473,16206,Brighton: 2018-05-31,41588018,W,369,43,8,4,excessive burstSlop,TRUE
376,28473,16206,Brighton: 2018-05-31,41588019,W,369,43,14,4,excessive burstSlop,TRUE
376,28473,16206,Brighton: 2018-05-31,41588020,W,369,43,4,2,median freqsd of run > 0.05 kHz,TRUE
377,28474,16207,PARC Banding: 2018-06-02,61275914,E,17522,185,63,16,High hourly pulse count,TRUE
377,28474,16207,PARC Banding: 2018-06-02,61275910,(Missing),4619,264,22,6,hit with high freqSD,TRUE
377,28474,16207,PARC Banding: 2018-06-02,61275915,N,2529,574,19,7,hit with high freqSD,TRUE
377,28474,16207,PARC Mt. Laurel: 2018-06-02,59664268,W,548,69,4,2,median freqsd of run > 0.05 kHz,TRUE
377,28474,16207,PARC Armour: 2018-06-02,59586276,E,709,9,9,4,median freqsd of run > 0.05 kHz,TRUE
377,28474,16207,Stutchbury: 2018-06-02,58834749,W,2,7,5,1,SG: <3 consecutive bursts,TRUE
377,28474,16207,Mack Lake: 2018-06-02,61381557,(Missing),NA,9,7,1,Lotek/CTT: <2 consecutive bursts,TRUE
377,28474,16207,Churchill - Fen: 2018-06-14,54100818,S,14181,73,73,73,High hourly pulse count,TRUE
379,28476,16209,BPLH: 2018-07-30,46325109,N,311235,1534,4,1,median freqsd of run > 0.05 kHz,FALSE
379,28476,16209,BPLH: 2018-08-13,46328063,N,6,272,4,1,median freqsd of run > 0.05 kHz,FALSE
379,28476,16209,High Park: 2018-10-09,38707881,S,64804,368,4,1,median freqsd of run > 0.05 kHz,FALSE
379,28476,16209,High Park: 2018-11-08,38708429,N,2547,458,4,2,median freqsd of run > 0.05 kHz,FALSE
334,28481,19547,Werden: 2018-05-26,39475547,E,58640,67,32,26,High hourly pulse count,TRUE
334,28481,19547,Osborne Tower: 2018-05-26,54086679,S,32495,174,4,1,High hourly pulse count,TRUE
334,28481,19547,Cambridge_RARE: 2018-05-26,41969653,E,992,171,77,19,median freqsd of run > 0.05 kHz,TRUE
334,28481,19547,Osborne Tower: 2018-05-26,54086685,S,32495,174,3,3,High hourly pulse count,TRUE
334,28481,19547,Osborne Tower: 2018-05-26,54086686,S,32495,174,65,19,High hourly pulse count,TRUE
334,28481,19547,Earl_Rowe_PP: 2018-05-26,42034915,W,16,61,4,2,SG: <3 consecutive bursts,TRUE
335,28482,19548,Tower Farm: 2018-05-28,57988188,N,8,28,5,1,SG: <3 consecutive bursts,TRUE
335,28482,19548,Brighton: 2018-05-29,41587992,S,138,19,7,5,excessive burstSlop,TRUE
336,28483,19549,High Park: 2018-10-09,38707841,S,64804,368,4,1,High hourly pulse count,FALSE
336,28483,19549,High Park: 2018-11-08,38708436,N,2547,458,4,2,SG: <3 consecutive bursts,FALSE
337,28484,19550,Kalamazoo Nature Center: 2018-05-29,42008051,E,NA,4,4,2,SG: <3 consecutive bursts,TRUE
338,28485,19551,SGL 154: 2018-05-26,58005701,N,NA,4,4,2,SG: <3 consecutive bursts,TRUE
338,28485,19551,Nanticoke: 2018-05-26,50772414,E,21920,131,131,22,High hourly pulse count,TRUE
338,28485,19551,Binbrook Conservation Area: 2018-05-26,37783280,N,551,98,30,6,hit with high freqSD,TRUE
338,28485,19551,Flamborough_Quarry: 2018-05-26,41949654,E,65831,50,48,25,High hourly pulse count,TRUE
338,28485,19551,Earl_Rowe_PP: 2018-05-26,42034922,W,374,62,4,2,SG: <3 consecutive bursts,TRUE
339,28486,19552,Werden: 2018-05-26,39475548,E,58640,67,35,24,High hourly pulse count,TRUE
339,28486,19552,Russell Reid PS: 2018-05-26,54620659,W,18,54,5,2,SG: <3 consecutive bursts,TRUE
339,28486,19552,Cambridge_RARE: 2018-05-26,41969651,S,204,18,8,2,SG: <3 consecutive bursts,TRUE
339,28486,19552,Cambridge_RARE: 2018-05-26,41969654,S,283,5,5,1,SG: <3 consecutive bursts,TRUE
339,28486,19552,Osborne Tower: 2018-05-26,54086684,S,32495,174,91,43,High hourly pulse count,TRUE
339,28486,19552,Sunset Farm: 2018-05-26,42423319,(Missing),7296,4,4,2,SG: <3 consecutive bursts,TRUE
339,28486,19552,Sunset Farm: 2018-05-26,42423320,W,6212,8,8,2,median freqsd of run > 0.05 kHz,TRUE
340,28487,19553,Rondeau_Provincial_P: 2018-05-27,37781826,W,363,37,14,3,median freqsd of run > 0.05 kHz,TRUE
340,28487,19553,Rondeau_Provincial_P: 2018-05-27,37781828,W,363,37,23,7,hit with high freqSD,TRUE
343,28490,19556,PARC CMNH: 2018-05-31,58004756,W,267,27,27,6,excessive burstSlop,TRUE
343,28490,19556,Stutchbury: 2018-05-31,58834476,S,27,34,34,7,excessive burstSlop,TRUE
343,28490,19556,Stutchbury: 2018-05-31,58834478,E,2,21,21,20,excessive burstSlop,TRUE
343,28490,19556,Stutchbury: 2018-05-31,58834479,N,37,24,24,18,excessive burstSlop,TRUE
343,28490,19556,Lakeview landfill: 2018-05-31,57469050,E,6723,9,9,7,excessive burstSlop,TRUE
343,28490,19556,Lakeview landfill: 2018-05-31,57469051,N,6687,28,28,9,excessive burstSlop,TRUE
343,28490,19556,Long_Point_Tip: 2018-05-31,41941251,S,233,21,21,8,excessive burstSlop,TRUE
343,28490,19556,Long_Point_Tip: 2018-05-31,41941252,N,302,32,32,7,excessive burstSlop,TRUE
343,28490,19556,Long_Point_Tip: 2018-05-31,41941250,E,141,26,26,11,excessive burstSlop,TRUE
343,28490,19556,Werden: 2018-05-31,39475551,S,6,11,11,9,excessive burstSlop,TRUE
343,28490,19556,Nanticoke: 2018-05-31,50772416,S,19336,19,19,4,High hourly pulse count,TRUE
343,28490,19556,Old Cut: 2018-05-31,57212875,S,489442,15,15,8,High hourly pulse count,TRUE
343,28490,19556,Old Cut: 2018-05-31,57212876,N,523797,23,23,18,High hourly pulse count,TRUE
343,28490,19556,Old Cut: 2018-05-31,57212877,W,592152,12,7,3,High hourly pulse count,TRUE
343,28490,19556,BSC HQ: 2018-05-31,58186977,N,2627,12,12,2,SG: <3 consecutive bursts,TRUE
343,28490,19556,Old Cut: 2018-05-31,57212878,W,592152,12,5,3,High hourly pulse count,TRUE
343,28490,19556,Old Cut: 2018-05-31,57212880,W,447551,5,5,4,High hourly pulse count,TRUE
343,28490,19556,Old Cut: 2018-05-31,57212883,W,1154,24,18,7,excessive burstSlop,TRUE
343,28490,19556,BSC HQ: 2018-05-31,58186989,E,1432,101,4,2,SG: <3 consecutive bursts,TRUE
343,28490,19556,Walsingham Super Tow: 2018-05-31,45188400,E,788,100,100,22,excessive burstSlop,TRUE
343,28490,19556,Turkey Point: 2018-05-31,34432565,S,NA,65,65,22,excessive burstSlop,TRUE
343,28490,19556,Old Cut: 2018-05-31,57212885,N,6205,18,18,5,excessive burstSlop,TRUE
343,28490,19556,Langton: 2018-05-31,35906900,E,574,63,18,3,excessive burstSlop,TRUE
343,28490,19556,Langton: 2018-05-31,35906900,E,574,63,18,3,hit with high freqSD,TRUE
343,28490,19556,Waterford_Quarry: 2018-05-31,55689662,W,1858,100,100,56,excessive burstSlop,TRUE
343,28490,19556,Langton: 2018-05-31,35906902,E,574,63,29,14,excessive burstSlop,TRUE
343,28490,19556,Waterford_Quarry: 2018-05-31,55689663,E,2884,20,20,10,excessive burstSlop,TRUE
343,28490,19556,Russell Reid PS: 2018-05-31,54620661,E,326,12,12,2,median freqsd of run > 0.05 kHz,TRUE
343,28490,19556,Cambridge_RARE: 2018-05-31,41969655,E,35004,33,17,6,median freqsd of run > 0.05 kHz,TRUE
343,28490,19556,Cambridge_RARE: 2018-05-31,41969656,S,559,53,29,26,excessive burstSlop,TRUE
343,28490,19556,Cambridge_RARE: 2018-05-31,41969661,E,35004,33,5,4,median freqsd of run > 0.05 kHz,TRUE
343,28490,19556,Cambridge_RARE: 2018-05-31,41969658,E,35004,33,4,2,median freqsd of run > 0.05 kHz,TRUE
343,28490,19556,Cambridge_RARE: 2018-05-31,41969663,E,35004,33,5,2,median freqsd of run > 0.05 kHz,TRUE
343,28490,19556,Cambridge_RARE: 2018-05-31,41969659,S,559,53,3,3,run length of 3,TRUE
343,28490,19556,Cambridge_RARE: 2018-05-31,41969660,S,559,53,5,4,excessive burstSlop,TRUE
343,28490,19556,Cambridge_RARE: 2018-05-31,41969664,S,559,53,12,12,excessive burstSlop,TRUE
343,28490,19556,Luther_Marsh: 2018-05-31,42734074,W,428,30,11,2,SG: <3 consecutive bursts,TRUE
343,28490,19556,Luther_Marsh: 2018-05-31,42734076,E,804,28,28,16,excessive burstSlop,TRUE
343,28490,19556,Luther_Marsh: 2018-05-31,42734075,W,428,30,19,16,excessive burstSlop,TRUE
343,28490,19556,New_Farm: 2018-05-31,44179216,W,270,44,12,5,excessive burstSlop,TRUE
343,28490,19556,New_Farm: 2018-05-31,44179217,W,270,44,32,9,excessive burstSlop,TRUE
343,28490,19556,Priceville: 2018-05-31,38126509,E,NA,46,38,28,excessive burstSlop,TRUE
343,28490,19556,Priceville: 2018-05-31,38126510,N,232,202,10,4,excessive burstSlop,TRUE
343,28490,19556,Priceville: 2018-05-31,38126511,N,232,202,100,51,excessive burstSlop,TRUE
343,28490,19556,Priceville: 2018-05-31,38126512,E,NA,46,8,3,excessive burstSlop,TRUE
343,28490,19556,Priceville: 2018-05-31,38126513,N,232,202,92,28,excessive burstSlop,TRUE
346,28493,19559,West Port Bruce: 2018-05-26,21465725,S,2920,7,5,1,median freqsd of run > 0.05 kHz,TRUE
346,28493,19559,West Port Bruce: 2018-05-26,64251809,S,2920,7,5,1,median freqsd of run > 0.05 kHz,TRUE
346,28493,19559,NANUK: 2018-05-27,45093493,(Missing),NA,38,11,10,excessive burstSlop,TRUE
346,28493,19559,NANUK: 2018-05-27,45093496,(Missing),NA,38,9,5,excessive burstSlop,TRUE
350,28497,19563,PresqueIsle: 2018-05-26,55100263,S,921,101,5,2,SG: <3 consecutive bursts,TRUE
353,28500,19566,Stutchbury: 2018-05-26,58834322,W,821,7,4,1,SG: <3 consecutive bursts,TRUE
353,28500,19566,Girard: 2018-05-26,41930036,S,101,45,3,3,run length of 3,TRUE
353,28500,19566,Aylmer: 2018-05-26,55674016,W,17099,35,35,24,High hourly pulse count,TRUE
353,28500,19566,Aylmer: 2018-05-26,55674017,E,1,13,13,6,hit with high freqSD,TRUE
355,28502,19654,South Tawas: 2018-05-26,58254164,(Missing),260,64,5,1,Lotek/CTT: <2 consecutive bursts,TRUE
355,28502,19654,Chase Bridge: 2018-05-26,57709248,(Missing),1704,397,150,25,excessive burstSlop,TRUE
355,28502,19654,Fletcher: 2018-05-26,61383423,(Missing),88,210,5,1,Lotek/CTT: <2 consecutive bursts,TRUE
357,28504,19656,St. Helen: 2018-05-26,58177633,(Missing),708,10,4,1,Lotek/CTT: <2 consecutive bursts,TRUE
357,28504,19656,St. Helen: 2018-05-26,58177635,(Missing),708,10,4,1,Lotek/CTT: <2 consecutive bursts,TRUE
358,28505,19657,Clare: 2018-05-29,58141371,(Missing),NA,314,64,16,excessive burstSlop,TRUE
358,28505,19657,Clare: 2018-05-29,58141373,(Missing),NA,314,6,4,excessive burstSlop,TRUE
358,28505,19657,Clare: 2018-05-29,58141375,(Missing),NA,314,15,15,excessive burstSlop,TRUE
358,28505,19657,Clare: 2018-05-29,58141377,(Missing),1868,111,4,2,excessive burstSlop,TRUE
358,28505,19657,Clare: 2018-05-29,58141379,(Missing),1868,111,14,14,excessive burstSlop,TRUE
358,28505,19657,Clare: 2018-05-29,58141380,(Missing),1868,111,15,9,excessive burstSlop,TRUE
358,28505,19657,Clare: 2018-05-29,58141381,(Missing),1868,111,5,3,excessive burstSlop,TRUE
358,28505,19657,Clare: 2018-05-29,58141386,(Missing),1868,111,3,3,run length of 3,TRUE
358,28505,19657,Clare: 2018-05-29,58141387,(Missing),1868,111,3,3,run length of 3,TRUE
358,28505,19657,Clare: 2018-05-29,58141388,(Missing),1868,111,29,29,excessive burstSlop,TRUE
358,28505,19657,Clare: 2018-05-29,58141392,(Missing),1868,111,3,3,run length of 3,TRUE
358,28505,19657,Clare: 2018-05-29,58141393,(Missing),1868,111,12,3,excessive burstSlop,TRUE
358,28505,19657,Fletcher: 2018-05-29,61383438,(Missing),652,396,4,2,excessive burstSlop,TRUE
358,28505,19657,Fletcher: 2018-05-29,61383441,(Missing),652,396,4,3,excessive burstSlop,TRUE
358,28505,19657,Fletcher: 2018-05-29,61383442,(Missing),652,396,4,3,excessive burstSlop,TRUE
358,28505,19657,Fletcher: 2018-05-29,61383444,(Missing),652,396,11,6,excessive burstSlop,TRUE
358,28505,19657,Fletcher: 2018-05-29,61383452,(Missing),652,396,4,2,excessive burstSlop,TRUE
358,28505,19657,Fletcher: 2018-05-29,61383454,(Missing),652,396,13,6,excessive burstSlop,TRUE
358,28505,19657,Fletcher: 2018-05-29,61383455,(Missing),652,396,7,6,excessive burstSlop,TRUE
358,28505,19657,Fletcher: 2018-05-29,61383457,(Missing),652,396,40,21,excessive burstSlop,TRUE
358,28505,19657,Fletcher: 2018-05-29,61383458,(Missing),652,396,78,12,excessive burstSlop,TRUE
358,28505,19657,D'Estimauville: 2018-05-29,55298740,S,79901,1576,4,1,median freqsd of run > 0.05 kHz,FALSE
359,28506,19658,St. Helen: 2018-05-26,58177636,(Missing),60,38,4,1,Lotek/CTT: <2 consecutive bursts,TRUE
359,28506,19658,Pointe Mouillee: 2018-05-26,59387619,N,NA,17,3,3,run length of 3,TRUE
359,28506,19658,Whitefish Point: 2018-05-27,58017159,N,7108,20,20,6,median freqsd of run > 0.05 kHz,TRUE
360,28507,19659,Fort Custer Training Center: 2018-05-29,55100268,E,5,4,4,2,SG: <3 consecutive bursts,TRUE
360,28507,19659,Lookoff: 2018-10-27,45421351,N,11659,362,4,1,median freqsd of run > 0.05 kHz,FALSE
360,28507,19659,Lookoff: 2018-12-10,34969885,N,13893,325,4,1,median freqsd of run > 0.05 kHz,FALSE
361,28508,19660,Snowshoe Fire Tower: 2018-05-26,57995952,N,34,6,6,2,SG: <3 consecutive bursts,TRUE
361,28508,19660,Gerdau: 2018-05-26,39612681,W,420,99,59,7,hit with high freqSD,TRUE
361,28508,19660,Gerdau: 2018-05-26,39612682,E,126,53,5,2,SG: <3 consecutive bursts,TRUE
361,28508,19660,Gerdau: 2018-05-26,39612681,W,420,99,59,7,excessive burstSlop,TRUE
361,28508,19660,Gerdau: 2018-05-26,39612685,E,126,53,4,2,SG: <3 consecutive bursts,TRUE
361,28508,19660,Gerdau: 2018-05-26,39612686,W,420,99,14,8,hit with high freqSD,TRUE
363,28510,19662,Snowshoe Fire Tower: 2018-05-26,57995949,W,23,5,5,1,SG: <3 consecutive bursts,TRUE
363,28510,19662,Hilliardton: 2018-05-26,55674035,E,13858,9,9,9,High hourly pulse count,TRUE
363,28510,19662,Moosonee: 2018-05-27,22129970,S,60566,31,3,3,High hourly pulse count,TRUE
363,28510,19662,Moosonee: 2018-05-27,65004696,S,60566,31,3,3,High hourly pulse count,TRUE
363,28510,19662,Moosonee: 2018-05-27,22129971,S,60566,31,24,18,High hourly pulse count,TRUE
363,28510,19662,Moosonee: 2018-05-27,65004697,S,60566,31,24,18,High hourly pulse count,TRUE
13,33193,21587,Rondeau Provincial Park: 2019-05-29,49745743,S,155,5,5,2,SG: <3 consecutive bursts,TRUE
13,33193,21587,Rondeau Provincial Park: 2019-05-29,68291027,S,155,5,5,2,SG: <3 consecutive bursts,FALSE
13,33193,21587,St.Clair NWA: 2019-05-29,59372271,S,NA,46,5,2,SG: <3 consecutive bursts,TRUE
13,33193,21587,St.Clair NWA: 2019-05-29,75984908,S,NA,46,5,2,SG: <3 consecutive bursts,FALSE
13,33193,21587,St. Helen: 2019-05-29,58180226,(Missing),72,14,5,1,Lotek/CTT: <2 consecutive bursts,TRUE
13,33193,21587,St. Helen: 2019-05-29,85606010,(Missing),72,14,5,1,Lotek/CTT: <2 consecutive bursts,FALSE
13,33193,21587,St. Helen: 2019-05-29,58180227,(Missing),72,14,4,1,Lotek/CTT: <2 consecutive bursts,TRUE
13,33193,21587,St. Helen: 2019-05-29,85606011,(Missing),72,14,4,1,Lotek/CTT: <2 consecutive bursts,FALSE
45,33225,21619,Hillman_Marsh: 2019-05-26,58142414,S,279,11,8,4,hit with high freqSD,TRUE
45,33225,21619,Hillman_Marsh: 2019-05-26,74131295,S,279,11,8,4,hit with high freqSD,FALSE
45,33225,21619,Hillman_Marsh: 2019-05-26,58142417,S,279,11,3,3,median freqsd of run > 0.05 kHz,TRUE
45,33225,21619,Hillman_Marsh: 2019-05-26,74131298,S,279,11,3,3,median freqsd of run > 0.05 kHz,FALSE
45,33225,21619,Pointe Mouillee: 2019-05-26,59392768,N,20,9,6,1,Lotek/CTT: <2 consecutive bursts,TRUE
45,33225,21619,Pointe Mouillee: 2019-05-26,76008740,N,20,9,6,1,Lotek/CTT: <2 consecutive bursts,FALSE
46,33226,21620,Long_Point_Tip: 2019-05-23,55111302,N,249,6,6,2,SG: <3 consecutive bursts,TRUE
46,33226,21620,Long_Point_Tip: 2019-05-23,71369148,N,NA,NA,6,2,SG: <3 consecutive bursts,FALSE
46,33226,21620,Long_Point_Tip: 2019-05-23,85932690,N,249,6,6,2,SG: <3 consecutive bursts,FALSE
46,33226,21620,South Tawas: 2019-05-24,58255374,(Missing),199,93,93,11,excessive burstSlop,TRUE
46,33226,21620,South Tawas: 2019-05-24,78726159,(Missing),199,93,93,11,excessive burstSlop,FALSE
46,33226,21620,Mack Lake: 2019-05-24,61382651,(Missing),NA,91,91,31,excessive burstSlop,TRUE
46,33226,21620,Piskwamish: 2019-05-25,54634674,N,81,15,13,12,excessive burstSlop,TRUE
46,33226,21620,Piskwamish: 2019-05-25,70414003,N,81,15,13,12,excessive burstSlop,FALSE
46,33226,21620,Piskwamish: 2019-05-25,54634672,E,206,46,22,17,excessive burstSlop,TRUE
46,33226,21620,Piskwamish: 2019-05-25,54634673,S,189,38,21,17,excessive burstSlop,TRUE
46,33226,21620,Piskwamish: 2019-05-25,70414001,E,206,46,22,17,excessive burstSlop,FALSE
46,33226,21620,Piskwamish: 2019-05-25,70414002,S,189,38,21,17,excessive burstSlop,FALSE
46,33226,21620,Burntpoint: 2019-06-07,58208624,E,1350,50,23,17,excessive burstSlop,TRUE
46,33226,21620,Burntpoint: 2019-06-07,72183700,E,1350,50,23,17,excessive burstSlop,FALSE
46,33226,21620,Burntpoint: 2019-06-07,58208628,W,542,37,18,17,excessive burstSlop,TRUE
46,33226,21620,Burntpoint: 2019-06-07,72183704,W,542,37,18,17,excessive burstSlop,FALSE
47,33227,21621,West Port Bruce: 2019-05-26,61374276,S,245,10,8,2,SG: <3 consecutive bursts,TRUE
47,33227,21621,Auzins: 2019-05-26,43307953,E,66,10,10,2,SG: <3 consecutive bursts,TRUE
47,33227,21621,Auzins: 2019-05-26,65857470,E,66,10,10,2,SG: <3 consecutive bursts,FALSE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,42417078,E,292,57,57,35,excessive burstSlop,TRUE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,63224079,E,292,57,57,35,excessive burstSlop,TRUE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,67698312,E,292,57,57,35,excessive burstSlop,FALSE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,42417079,W,460,18,18,16,excessive burstSlop,TRUE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,63224080,W,460,18,18,16,excessive burstSlop,TRUE
